Alocacao, TempoMyMalloc, TempoMalloc
291840,0.000015,0.000031
292864,0.000012,0.000027
293888,0.000014,0.000019
294912,0.000013,0.000028
295936,0.000012,0.000027
296960,0.000015,0.000021
297984,0.000015,0.000030
299008,0.000014,0.000030
300032,0.000015,0.000032
301056,0.000013,0.000035
302080,0.000013,0.000028
303104,0.000017,0.000022
304128,0.000014,0.000028
305152,0.000013,0.000027
306176,0.000032,0.000029
307200,0.000014,0.000037
308224,0.000013,0.000030
309248,0.000015,0.000021
310272,0.000014,0.000027
311296,0.000013,0.000028
312320,0.000014,0.000022
313344,0.000014,0.000030
314368,0.000012,0.000027
315392,0.000015,0.000023
316416,0.000012,0.000033
317440,0.000014,0.000031
318464,0.000014,0.000022
319488,0.000015,0.000030
320512,0.000012,0.000026
321536,0.000015,0.000020
322560,0.000012,0.000027
323584,0.000014,0.000032
324608,0.000013,0.000019
325632,0.000014,0.000032
326656,0.000011,0.000025
327680,0.000015,0.000023
328704,0.000012,0.000026
329728,0.000013,0.000028
330752,0.000014,0.000019
331776,0.000013,0.000030
332800,0.000012,0.000028
333824,0.000014,0.000019
334848,0.000014,0.000026
335872,0.000013,0.000028
336896,0.000014,0.000021
337920,0.000013,0.000026
338944,0.000012,0.000030
339968,0.000017,0.000021
340992,0.000013,0.000030
342016,0.000012,0.000027
343040,0.000015,0.000020
344064,0.000013,0.000027
345088,0.000011,0.000029
346112,0.000013,0.000020
347136,0.000022,0.000028
348160,0.000015,0.000029
349184,0.000015,0.000021
350208,0.000015,0.000029
351232,0.000011,0.000028
352256,0.000014,0.000023
353280,0.000013,0.000027
354304,0.000011,0.000027
355328,0.000015,0.000020
356352,0.000017,0.000028
357376,0.000013,0.000027
358400,0.000014,0.000019
359424,0.000013,0.000027
360448,0.000013,0.000028
361472,0.000014,0.000021
362496,0.000013,0.000027
363520,0.000010,0.000033
364544,0.000013,0.000022
365568,0.000015,0.000030
366592,0.000011,0.000027
367616,0.000013,0.000023
368640,0.000021,0.000028
369664,0.000010,0.000034
370688,0.000014,0.000030
371712,0.000014,0.000033
372736,0.000011,0.000027
373760,0.000015,0.000022
374784,0.000013,0.000027
375808,0.000013,0.000030
376832,0.000013,0.000023
377856,0.000013,0.000034
378880,0.000012,0.000029
379904,0.000013,0.000026
380928,0.000013,0.000028
381952,0.000012,0.000029
382976,0.000013,0.000021
384000,0.000013,0.000030
385024,0.000011,0.000031
386048,0.000012,0.000024
387072,0.000013,0.000028
388096,0.000010,0.000034
389120,0.000014,0.000022
390144,0.000012,0.000035
391168,0.000012,0.000027
392192,0.000013,0.000024
393216,0.000013,0.000029
394240,0.000011,0.000034
395264,0.000014,0.000024
396288,0.000013,0.000033
397312,0.000012,0.000027
398336,0.000014,0.000023
399360,0.000014,0.000042
400384,0.000012,0.000032
401408,0.000016,0.000028
402432,0.000017,0.000034
403456,0.000012,0.000029
404480,0.000019,0.000024
405504,0.000013,0.000029
406528,0.000013,0.000031
407552,0.000013,0.000024
408576,0.000015,0.000031
409600,0.000012,0.000030
410624,0.000013,0.000024
411648,0.000013,0.000030
412672,0.000015,0.000031
413696,0.000014,0.000023
414720,0.000012,0.000034
415744,0.000012,0.000028
416768,0.000015,0.000030
417792,0.000012,0.000030
418816,0.000013,0.000030
419840,0.000013,0.000023
420864,0.000017,0.000030
421888,0.000011,0.000034
422912,0.000014,0.000027
423936,0.000014,0.000032
424960,0.000011,0.000030
425984,0.000014,0.000024
427008,0.000012,0.000033
428032,0.000013,0.000036
429056,0.000013,0.000022
430080,0.000013,0.000032
431104,0.000012,0.000029
432128,0.000012,0.000026
433152,0.000013,0.000029
434176,0.000010,0.000033
435200,0.000013,0.000023
436224,0.000011,0.000037
437248,0.000012,0.000029
438272,0.000013,0.000026
439296,0.000012,0.000030
440320,0.000020,0.000032
441344,0.000013,0.000024
442368,0.000015,0.000032
443392,0.000016,0.000030
444416,0.000014,0.000028
445440,0.000013,0.000031
446464,0.000012,0.000031
447488,0.000013,0.000025
448512,0.000014,0.000031
449536,0.000011,0.000032
450560,0.000014,0.000025
451584,0.000012,0.000035
452608,0.000014,0.000034
453632,0.000012,0.000027
454656,0.000013,0.000029
455680,0.000011,0.000032
456704,0.000013,0.000025
457728,0.000014,0.000041
458752,0.000011,0.000031
459776,0.000014,0.000027
460800,0.000014,0.000036
461824,0.000011,0.000035
462848,0.000015,0.000028
463872,0.000013,0.000033
464896,0.000012,0.000035
465920,0.000014,0.000026
466944,0.000012,0.000033
467968,0.000012,0.000031
468992,0.000015,0.000028
470016,0.000013,0.000031
471040,0.000012,0.000033
472064,0.000014,0.000026
473088,0.000013,0.000033
474112,0.000011,0.000035
475136,0.000016,0.000028
476160,0.000014,0.000039
477184,0.000017,0.000032
478208,0.000012,0.000027
479232,0.000013,0.000031
480256,0.000012,0.000033
481280,0.000013,0.000027
482304,0.000015,0.000032
483328,0.000012,0.000035
484352,0.000020,0.000026
485376,0.000017,0.000032
486400,0.000011,0.000031
487424,0.000016,0.000027
488448,0.000016,0.000054
489472,0.000011,0.000063
490496,0.000012,0.000023
491520,0.000011,0.000029
492544,0.000011,0.000028
493568,0.000011,0.000022
494592,0.000012,0.000028
495616,0.000010,0.000029
496640,0.000011,0.000023
497664,0.000011,0.000030
498688,0.000011,0.000028
499712,0.000011,0.000025
500736,0.000011,0.000029
501760,0.000010,0.000028
502784,0.000011,0.000023
503808,0.000010,0.000027
504832,0.000010,0.000029
505856,0.000011,0.000029
506880,0.000012,0.000029
507904,0.000011,0.000023
508928,0.000011,0.000024
509952,0.000012,0.000028
510976,0.000011,0.000022
512000,0.000011,0.000025
513024,0.000011,0.000029
514048,0.000010,0.000026
515072,0.000011,0.000024
516096,0.000010,0.000029
517120,0.000011,0.000023
518144,0.000013,0.000023
519168,0.000011,0.000028
520192,0.000010,0.000024
521216,0.000011,0.000024
522240,0.000011,0.000032
523264,0.000009,0.000023
524288,0.000011,0.000026
525312,0.000011,0.000029
526336,0.000009,0.000029
527360,0.000012,0.000028
528384,0.000011,0.000035
529408,0.000011,0.000024
530432,0.000014,0.000024
531456,0.000010,0.000027
532480,0.000014,0.000023
533504,0.000012,0.000025
534528,0.000015,0.000029
535552,0.000010,0.000023
536576,0.000014,0.000023
537600,0.000011,0.000029
538624,0.000012,0.000023
539648,0.000011,0.000024
540672,0.000011,0.000030
541696,0.000010,0.000022
542720,0.000012,0.000025
543744,0.000011,0.000029
544768,0.000010,0.000028
545792,0.000015,0.000027
546816,0.000014,0.000031
547840,0.000010,0.000025
548864,0.000011,0.000025
549888,0.000011,0.000030
550912,0.000010,0.000023
551936,0.000010,0.000024
552960,0.000011,0.000030
553984,0.000010,0.000025
555008,0.000011,0.000029
556032,0.000011,0.000029
557056,0.000010,0.000023
